# Training started at 20251028_045433
# Target episodes: 100000
# Device: cuda
# Format: episode, avg_score, max_score, epsilon, memory_size, time_last_100, time_total, time_remaining
# episode,avg_score,max_score,epsilon,memory_size,time_last_100,time_total,time_remaining
0,0.00,0,1.0000,133,0.01,0.01,510.47
100,0.10,1,1.0000,12591,0.18,0.19,184.90
200,0.22,1,0.9646,22792,0.68,0.87,431.34
300,0.13,1,0.9176,36002,1.10,1.97,652.65
400,0.20,1,0.8728,46618,1.33,3.30,820.66
500,0.24,1,0.8302,60383,1.79,5.09,1011.11
600,0.57,1,0.7897,70885,1.86,6.95,1150.11
700,0.51,2,0.7512,80613,1.83,8.79,1244.94
800,0.64,1,0.7146,89429,1.97,10.76,1332.78
900,0.72,1,0.6797,98027,2.06,12.82,1410.15
1000,0.75,2,0.6465,100000,1.75,14.57,1441.36
1100,0.79,2,0.6150,100000,1.97,16.54,1485.73
1200,0.77,2,0.5850,100000,2.17,18.71,1539.30
1300,0.82,2,0.5565,100000,2.14,20.85,1582.04
1400,0.90,2,0.5293,100000,2.31,23.17,1630.51
1500,0.86,1,0.5035,100000,2.91,26.08,1711.46
1600,0.83,2,0.4789,100000,3.72,29.80,1831.84
1700,0.86,2,0.4556,100000,3.31,33.12,1913.84
1800,0.88,1,0.4334,100000,4.06,37.17,2026.95
1900,0.82,1,0.4122,100000,5.11,42.28,2181.98
2000,0.82,1,0.3921,100000,3.11,45.40,2223.31
2100,0.90,2,0.3730,100000,5.20,50.59,2357.47
2200,0.87,2,0.3548,100000,4.99,55.58,2469.82
2300,0.87,2,0.3375,100000,5.99,61.58,2614.46
2400,1.01,2,0.3210,100000,3.99,65.56,2665.11
2500,0.93,2,0.3054,100000,4.87,70.43,2745.64
2600,0.96,2,0.2905,100000,4.44,74.87,2803.68
2700,0.97,2,0.2763,100000,3.80,78.67,2834.03
2800,0.98,2,0.2628,100000,6.30,84.97,2948.51
2900,1.03,3,0.2500,100000,5.13,90.10,3015.67
3000,1.05,3,0.2378,100000,7.28,97.37,3147.33
3100,1.03,3,0.2262,100000,5.49,102.86,3214.25
3200,1.20,4,0.2152,100000,5.36,108.22,3272.59
3300,1.15,3,0.2047,100000,3.61,111.83,3275.90
3400,1.13,4,0.1947,100000,6.47,118.30,3360.10
3500,1.18,4,0.1852,100000,5.64,123.94,3416.32
3600,1.15,4,0.1761,100000,4.11,128.05,3428.00
3700,1.11,3,0.1676,100000,6.27,134.33,3495.12
3800,1.36,4,0.1594,100000,5.31,139.63,3533.93
3900,1.23,4,0.1516,100000,7.44,147.08,3623.11
